index,ID,F,stored,readback,direct,used_source,reason
40690,,,,,0.07692344705229835,direct,missing_value
40705,,,,,0.14208721855798956,direct,missing_value
40818,,,,,0.04180908203125,direct,missing_value
40831,,,,,0.1502448571441164,direct,missing_value
40834,,,,,0.13850246913807496,direct,missing_value
40939,,,,,0.11781472819990432,direct,missing_value
41084,,,,,0.03889179229736328,direct,missing_value
41102,,,,,0.10981360386358574,direct,missing_value
41137,,,,,0.05857057874630017,direct,missing_value
41149,,,,,0.10234385584953998,direct,missing_value
41262,,,,,0.07171524640962836,direct,missing_value
41421,,,,,0.098376313369954,direct,missing_value
41428,,,,,0.026123046875,direct,missing_value
41434,,,,,0.11212216760031879,direct,missing_value
41541,,,,,0.13084400051616285,direct,missing_value
41647,,,,,0.10092106821697211,direct,missing_value
41655,,,,,0.17319217757477645,direct,missing_value
41685,,,,,0.13289260575174922,direct,missing_value
41696,,,,,0.08838538640089544,direct,missing_value
41697,,,,,0.043411553454694524,direct,missing_value
41784,,,,,0.01214599609375,direct,missing_value
41822,,,,,0.06088933348655701,direct,missing_value
41827,,,,,0.08151513532382001,direct,missing_value
41858,,,,,0.0933335651883708,direct,missing_value
41872,,,,,0.03835487365722656,direct,missing_value
41882,,,,,0.0140838623046875,direct,missing_value
41910,,,,,0.09606011846599016,direct,missing_value
41979,,,,,0.0234375,direct,missing_value
42028,,,,,0.15337335698455945,direct,missing_value
42053,,,,,0.024210214614868164,direct,missing_value
42132,,,,,0.09846690701794998,direct,missing_value
42218,,,,,0.0549389123916626,direct,missing_value
42327,,,,,0.10444566425311312,direct,missing_value
42436,,,,,0.2090229104469472,direct,missing_value
42513,,,,,0.1574048467737157,direct,missing_value
42562,,,,,0.08969611638624239,direct,missing_value
42634,,,,,0.02706807851791382,direct,missing_value
42637,,,,,0.06205374002456665,direct,missing_value
42682,,,,,0.14539262072500492,direct,missing_value
42785,,,,,0.06313661073744506,direct,missing_value
42995,,,,,0.06135261709091987,direct,missing_value
43043,,,,,0.04372946918010712,direct,missing_value
43132,,,,,0.11447754909750074,direct,missing_value
43154,,,,,0.03675010800361633,direct,missing_value
43185,,,,,0.046475694162789606,direct,missing_value
43234,,,,,0.07674849957653312,direct,missing_value
43242,,,,,0.03793525695800781,direct,missing_value
43322,,,,,0.45925068855285645,direct,missing_value
43361,,,,,0.1639477018224227,direct,missing_value
43434,,,,,0.07578907718857604,direct,missing_value
43847,,,,,0.01874542236328125,direct,missing_value
43849,,,,,0.05251687580939657,direct,missing_value
43891,,,,,0.08261582392327488,direct,missing_value
43932,,,,,0.17025430987377588,direct,missing_value
43970,,,,,0.20290089062081762,direct,missing_value
43984,,,,,0.055204938845272625,direct,missing_value
44011,,,,,0.038387298583984375,direct,missing_value
44245,,,,,0.2216796875,direct,missing_value
44270,,,,,0.020050048828125,direct,missing_value
44318,,,,,0.03902101516723633,direct,missing_value
44491,,,,,0.12167477525565573,direct,missing_value
44528,,,,,0.08250403377440249,direct,missing_value
44545,,,,,0.2068947960051618,direct,missing_value
44559,,,,,0.09981236651701964,direct,missing_value
44706,,,,,0.10426458575966535,direct,missing_value
44723,,,,,0.07539530427215907,direct,missing_value
44752,,,,,0.058648984631169215,direct,missing_value
44792,,,,,0.060001632796693294,direct,missing_value
